t,x,y,yaw,state,front,back,left,right
268.24,2.9446501982984477,-11.998722167090376,1.3281311021319628,EXPLORE,2.500628709793091,1.1215887069702148,2.3860905170440674,1.1929062604904175
268.27,2.944658932112874,-11.998729671374655,1.4015814385252616,EXPLORE,2.500628709793091,1.1215887069702148,2.3860905170440674,1.1929062604904175
268.31,2.944660577159207,-11.99873098704957,1.4148150431567177,EXPLORE,2.577629327774048,1.1209195852279663,2.3394293785095215,1.2023826837539673
268.34,2.94466125043158,-11.998732489226112,1.4208659082108677,EXPLORE,2.577629327774048,1.1209195852279663,2.3394293785095215,1.2023826837539673
268.37,2.944662959921768,-11.998732850903306,1.4273233140549484,EXPLORE,2.636669874191284,1.1205029487609863,2.3079874515533447,1.2096915245056152
268.41,2.9446644865691938,-11.998734022761859,1.4355991462245012,EXPLORE,2.636669874191284,1.1205029487609863,2.3079874515533447,1.2096915245056152
268.44,2.944665123548976,-11.998735404071354,1.4414495663129578,EXPLORE,2.6890244483947754,1.1201739311218262,2.28275465965271,1.2161740064620972
268.47,2.944666684386102,-11.998735680043472,1.447046484017615,EXPLORE,2.6890244483947754,1.1201739311218262,2.28275465965271,1.2161740064620972
268.51,2.9446680884558587,-11.998736721020117,1.4541860851882384,EXPLORE,2.7391836643218994,1.1199029684066772,2.2606191635131836,1.2223734855651855
268.54,2.9446686850896953,-11.998737990623647,1.459309069275112,EXPLORE,2.7391836643218994,1.1199029684066772,2.2606191635131836,1.2223734855651855
268.57,2.9446701047271717,-11.99873819200212,1.4641364784408883,EXPLORE,2.7871737480163574,1.1196917295455933,2.2410895824432373,1.2282843589782715
268.61,2.9446713897691867,-11.998739115284291,1.4702902256590475,EXPLORE,2.7871737480163574,1.1196917295455933,2.2410895824432373,1.2282843589782715
268.64,2.9446719440931535,-11.998740282084439,1.4746390598766062,EXPLORE,2.832082509994507,1.1195045709609985,2.2241241931915283,1.2337895631790161
268.67,2.944673230790783,-11.998740419090735,1.4787997516490754,EXPLORE,2.832082509994507,1.1195045709609985,2.2241241931915283,1.2337895631790161
268.71,2.9446744017233115,-11.998741236975698,1.4841072774516713,EXPLORE,2.874600887298584,1.1193552017211914,2.2091100215911865,1.2389754056930542
268.74,2.944674913419867,-11.998742309448314,1.4879156668788474,EXPLORE,2.874600887298584,1.1193552017211914,2.2091100215911865,1.2389754056930542
268.77,2.9446760763099875,-11.998742391392629,1.4915043286697904,EXPLORE,2.914872646331787,1.1192325353622437,2.195746660232544,1.2438580989837646
